Action Log (Action list),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Module,Sub module,,Module,Action,X-CURRENT-PATH,X-CURRENT-MENU,X-CURRENT-SUB-MENU,X-CURRENT-PAYLOAD,METHOD,Endpoint,,ชื่อเมนูที่ใช้งาน,หัวข้อย่อย,การเข้าถึง,เลขที่เอกสาร
ข่าวสาร,,,,,,,,,,,,,,,
งาน,ประเมินหลักทรัพย์,,,,,,,,,,,,,,
,ติดตามทวงถาม,,,,,,,,,,,,,,
แดชบอร์ด,,,,,,,,,,,,,,,
รายงาน,,,,,,,,,,,,,,,
สัญญา,,,,,,,,,,,,,,,
,,,,แก้ไข,api/v1/management/contract-expense/8,CONTRACT,สัญญา > ค่าใช้จ่าย,,PUT,api/v1/management/contract-expense/8,,สัญญา,,ดู,
,,,,ลบ,api/v1/management/contract-expense/8,CONTRACT,สัญญา > ค่าใช้จ่าย,,DELETE,api/v1/management/contract-expense/8,,สัญญา,,ดู,
,,,,สร้าง,api/v1/management/contract-income/23,CONTRACT,สัญญา > รายได้,,POST,api/v1/management/contract-income/23,,สัญญา,,ดู,
,,,,ดูรายละเอียด,api/v1/management/contract-income/5,CONTRACT,สัญญา > รายได้,,GET,api/v1/management/contract-income/5,,สัญญา,,ดู,
,,,,แก้ไข,api/v1/management/contract-income/5,CONTRACT,สัญญา > รายได้,,PUT,api/v1/management/contract-income/5,,สัญญา,,ดู,
,,,,ลบ,api/v1/management/contract-income/5,CONTRACT,สัญญา > รายได้,,DELETE,api/v1/management/contract-income/5,,สัญญา,,ดู,
,,,,ดู,api/v1/management/contract-contact-history/paginate/23,CONTRACT,สัญญา > ประวัติการติดต่อ,,GET,api/v1/management/contract-contact-history/paginate/23,,สัญญา,,ดู,
,,,,สร้าง,api/v1/management/contract-contact-history/23,CONTRACT,สัญญา > ประวัติการติดต่อ,,POST,api/v1/management/contract-contact-history/23,,สัญญา,,ดู,
,,,,ดู,api/v1/management/contract-document/paginate/23,CONTRACT,สัญญา >  รายการเอกสาร,,GET,api/v1/management/contract-document/paginate/23,,สัญญา,,ดู,
,,,,สร้าง,api/v1/management/contract-document/23,CONTRACT,สัญญา >  รายการเอกสาร,,POST,api/v1/management/contract-document/23,,สัญญา,,ดู,
,,,,ลบ,api/v1/management/contract/cancelled/4,CONTRACT,สัญญา >  ยกเลิก,,DELETE,api/v1/management/contract/cancelled/4,,สัญญา,,ดู,
,,,,,,,,,,,,,,,
,,,Module,Action,X-CURRENT-PATH,X-CURRENT-MENU,X-CURRENT-SUB-MENU,X-CURRENT-PAYLOAD,METHOD,Endpoint,,ชื่อเมนูที่ใช้งาน,หัวข้อย่อย,การเข้าถึง,เลขที่เอกสาร
,,,ลูกค้า,ดู,api/v1/management/customer,CUSTOMER,,,GET,api/v1/management/customer,,ลูกค้า,,ดู,
,,,,สร้าง,api/v1/management/customer,CUSTOMER,,,POST,api/v1/management/customer/:id,,ลูกค้า,,ดู,
,,,,แก้ไข,api/v1/management/customer/:id,CUSTOMER,,,PUT,api/v1/management/customer/:id,,ลูกค้า,,ดู,
,,,,ลบ,api/v1/management/customer/:id,CUSTOMER,,,DELETE,api/v1/management/customer/:id,,ลูกค้า,,ดู,
,,,,ดูรายละเอียด,api/v1/management/customer/:id,CUSTOMER,,,GET,api/v1/management/customer/:id,,ลูกค้า,,ดู,
,,,,ดู,api/v1/management/customer-document?page=1&limit=10&sortOrder=desc&customerId=9,CUSTOMER,เอกสารส่วนตัว,,GET,api/v1/management/customer-document?page=1&limit=10&sortOrder=desc&customerId=9,,ลูกค้า,,ดู,
